userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Prunus maritima,Prunus maritima,Prunus maritima,Prunus,Rosaceae,24790,species,,0,NA,NA
Japanese apricot,Japanese apricot,Prunus mume,Prunus,Rosaceae,506231,species,,0,NA,NA
Pin cherry,Pin cherry,Prunus pensylvanica,Prunus,Rosaceae,24799,species,,0,NA,NA
Peach,Peach,Prunus persica,Prunus,Rosaceae,24765,species,,0,NA,NA
Black cherry,Black cherry,Prunus serotina,Prunus,Rosaceae,24764,species,,0,NA,NA
Kwanzan cherry,Kwanzan cherry,Prunus serrulata,Prunus,Rosaceae,506233,species,,0,NA,NA
Weeping cherry,Weeping cherry,Prunus subhirtella,Prunus,Rosaceae,565436,species,,0,NA,NA
Wafer ash,Wafer ash,Ptelea trifoliata,Ptelea,Rutaceae,28992,species,,0,NA,NA
Buffalo nut,Buffalo nut,Pyrularia pubera,Pyrularia,Santalaceae,504705,species,,0,NA,NA
Pear,Pear,Pyrus,Pyrus,Rosaceae,25294,genus,,0,NA,NA
Callery pear,Callery pear,Pyrus calleryana,Pyrus,Rosaceae,504706,species,,0,NA,NA
Pyrus pyrifolia,Pyrus pyrifolia,Pyrus pyrifolia,Pyrus,Rosaceae,25296,species,,0,NA,NA
Oak,Oak,Quercus,Quercus,Fagaceae,19276,genus,,0,NA,NA
California live oak,California live oak,Quercus agrifolia,Quercus,Fagaceae,19289,species,,0,NA,NA
White oak,White oak,Quercus alba,Quercus,Fagaceae,19290,species,,0,NA,NA
Swamp white oak,Swamp white oak,Quercus bicolor,Quercus,Fagaceae,19300,species,,0,NA,NA
Scarlet oak,Scarlet oak,Quercus coccinea,Quercus,Fagaceae,19288,species,,0,NA,NA
Southern red oak,Southern red oak,Quercus falcata,Quercus,Fagaceae,19277,species,,0,NA,NA
Chinese evergreen oak,Chinese evergreen oak,Quercus glauca,Quercus,Fagaceae,845168,species,,0,NA,NA
Scrub oak,Scrub oak,Quercus ilicifolia,Quercus,Fagaceae,19358,species,suggested change to 'bear oak' due to ambiguity,0,NA,NA
Shingle oak,Shingle oak,Quercus imbricaria,Quercus,Fagaceae,19359,species,,0,NA,NA
Turkey oak,Turkey oak,Quercus laevis,Quercus,Fagaceae,19367,species,,0,NA,NA
Laurel oak,Laurel oak,Quercus laurifolia,Quercus,Fagaceae,19368,species,,0,NA,NA
Overcup oak,Overcup oak,Quercus lyrata,Quercus,Fagaceae,19278,species,,0,NA,NA
Bur oak,Bur oak,Quercus macrocarpa,Quercus,Fagaceae,19287,species,,0,NA,NA
Blackjack oak,Blackjack oak,Quercus marilandica,Quercus,Fagaceae,19374,species,,0,NA,NA
Swamp chestnut oak,Swamp chestnut oak,Quercus michauxii,Quercus,Fagaceae,19279,species,,0,NA,NA
Chestnut oak,Chestnut oak,Quercus montana,Quercus,Fagaceae,19379,species,,0,NA,NA
